Creation Time: 2023_2_16-17-51-6
17-51-6 | [INFO] RZRadZoneCore - Started ! => Loading config...
17-51-6 | [INFO] Checking if old config...
17-51-6 | [INFO] Current config loading...
17-51-6 | [INFO] RadZoneJsonLoader::LoadFromFile Loaded file: $profile:RadZone\RZConfig\ClothesProtectionConfigV1.json
17-51-6 | [INFO] RadZoneJsonLoader::LoadFromFile Loaded file: $profile:RadZone\RZConfig\CrateSystemConfigV1.json
17-51-6 | [INFO] RadZoneJsonLoader::LoadFromFile Loaded file: $profile:RadZone\RZConfig\RadiationConfigV1.json
17-51-6 | [INFO] CrateSystem - Started !
17-51-6 | [INFO] RZRadZoneServer - Started
17-51-40 | [INFO] LootSpawner - Started !
17-51-40 | [INFO] CheckCreatureStatus Started !
17-51-40 | [INFO] Object:Creature equal to 0!
17-51-40 | [INFO] [LOOTSYSTEM]: [CrateCleaner] !
17-51-40 | [INFO] [LOOTSYSTEM]: CrateList equal to 0!
17-51-40 | [INFO] NumberOfCratePerTime: 1
17-51-40 | [INFO] Crates count:7
17-51-40 | [INFO] Crate pos:<4623.640137, 343.319000, 9557.330078>maxloot: 10
17-51-40 | [INFO] [LOOTSYSTEM]: A previous case has been found at that location and got deleted!
17-51-40 | [INFO] [LOOTSYSTEM]: Spawned CrateName: Army2- Position: X:4623.64 Y:343.319 Z:9557.33
17-51-40 | [INFO] AmmoBox_545x39_20Rnd
17-51-40 | [INFO] AmmoBox_556x45_20Rnd
17-51-40 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
17-51-40 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
17-51-40 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
17-51-40 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
17-51-40 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
17-51-40 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
17-51-40 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
17-51-40 | [INFO] [CREATURE SYSTEM] Animal_UrsusArctos has spawned !
17-51-40 | [INFO] NumberOfCratePerTime: 1
17-51-40 | [INFO] Crates count:7
17-51-40 | [INFO] Crate pos:<11860.200195, 141.061005, 12423.500000>maxloot: 10
17-51-40 | [INFO] [LOOTSYSTEM]: A previous case has been found at that location and got deleted!
17-51-40 | [INFO] [LOOTSYSTEM]: Spawned CrateName: Army2- Position: X:11860.2 Y:141.061 Z:12423.5
17-51-40 | [INFO] Fal_FoldingBttstck
17-51-40 | [INFO] Fal_OeBttstck
17-51-40 | [INFO] FAL + Mag_FAL_20Rnd
17-51-40 | [INFO] AmmoBox_556x45_20Rnd
17-51-40 | [INFO] AK74_WoodBttstck
17-51-40 | [INFO] AK_Bayonet
17-51-40 | [INFO] AK_FoldingBttstck_Black
17-51-40 | [INFO] SVD + Mag_SVD_10Rnd
17-51-40 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
17-51-40 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
17-51-40 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
17-51-40 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
17-51-40 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
17-51-40 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
17-51-40 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
17-51-40 | [INFO] [CREATURE SYSTEM] Animal_UrsusArctos has spawned !
18-36-40 | [INFO] LootSpawner - Started !
18-36-40 | [INFO] CheckCreatureStatus Started !
18-36-40 | [INFO] Object:Creature deleted!
18-36-40 | [INFO] Object:Creature deleted!
18-36-40 | [INFO] Object:Creature deleted!
18-36-40 | [INFO] Object:Creature deleted!
18-36-40 | [INFO] Object:Creature deleted!
18-36-40 | [INFO] Object:Creature deleted!
18-36-40 | [INFO] Object:Creature deleted!
18-36-40 | [INFO] Object:Creature deleted!
18-36-40 | [INFO] Object:Creature deleted!
18-36-40 | [INFO] Object:Creature deleted!
18-36-40 | [INFO] Object:Creature deleted!
18-36-40 | [INFO] Object:Creature deleted!
18-36-40 | [INFO] Object:Creature deleted!
18-36-40 | [INFO] Object:Creature deleted!
18-36-40 | [INFO] Object:Creature deleted!
18-36-40 | [INFO] Object:Creature deleted!
18-36-40 | [INFO] [LOOTSYSTEM]: [CrateCleaner] !
18-36-40 | [INFO] [LOOTSYSTEM]: CrateList has been deleted!
18-36-40 | [INFO] [LOOTSYSTEM]: CrateList has been deleted!
18-36-40 | [INFO] NumberOfCratePerTime: 1
18-36-40 | [INFO] Crates count:7
18-36-40 | [INFO] Crate pos:<4623.640137, 343.319000, 9557.330078>maxloot: 10
18-36-40 | [INFO] [LOOTSYSTEM]: A previous case has been found at that location and got deleted!
18-36-40 | [INFO] [LOOTSYSTEM]: Spawned CrateName: Army2- Position: X:4623.64 Y:343.319 Z:9557.33
18-36-40 | [INFO] Fal_FoldingBttstck
18-36-40 | [INFO] Fal_OeBttstck
18-36-40 | [INFO] FAL + Mag_FAL_20Rnd
18-36-40 | [INFO] AmmoBox_545x39_20Rnd
18-36-40 | [INFO] AK_RailHndgrd_Black
18-36-40 | [INFO] AK_Bayonet
18-36-40 | [INFO] SVD + Mag_SVD_10Rnd
18-36-40 | [INFO] AK74 + Mag_AK74_30Rnd
18-36-40 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
18-36-40 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
18-36-40 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
18-36-40 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
18-36-40 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
18-36-40 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
18-36-40 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
18-36-40 | [INFO] [CREATURE SYSTEM] Animal_UrsusArctos has spawned !
18-36-40 | [INFO] NumberOfCratePerTime: 1
18-36-40 | [INFO] Crates count:7
18-36-40 | [INFO] Crate pos:<11860.200195, 141.061005, 12423.500000>maxloot: 10
18-36-40 | [INFO] [LOOTSYSTEM]: A previous case has been found at that location and got deleted!
18-36-40 | [INFO] [LOOTSYSTEM]: Spawned CrateName: Army2- Position: X:11860.2 Y:141.061 Z:12423.5
18-36-40 | [INFO] AmmoBox_545x39_20Rnd
18-36-40 | [INFO] AmmoBox_556x45_20Rnd
18-36-40 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
18-36-40 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
18-36-40 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
18-36-40 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
18-36-40 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
18-36-40 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
18-36-40 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
18-36-40 | [INFO] [CREATURE SYSTEM] Animal_UrsusArctos has spawned !
