Creation Time: 2023_2_23-13-8-2
13-8-2 | [INFO] RZRadZoneCore - Started ! => Loading config...
13-8-2 | [INFO] Checking if old config...
13-8-2 | [INFO] Current config loading...
13-8-2 | [INFO] RadZoneJsonLoader::LoadFromFile Loaded file: $profile:RadZone\RZConfig\ClothesProtectionConfigV1.json
13-8-2 | [INFO] RadZoneJsonLoader::LoadFromFile Loaded file: $profile:RadZone\RZConfig\CrateSystemConfigV1.json
13-8-2 | [INFO] RadZoneJsonLoader::LoadFromFile Loaded file: $profile:RadZone\RZConfig\RadiationConfigV1.json
13-8-2 | [INFO] CrateSystem - Started !
13-8-2 | [INFO] RZRadZoneServer - Started
13-8-46 | [INFO] LootSpawner - Started !
13-8-46 | [INFO] CheckCreatureStatus Started !
13-8-46 | [INFO] Object:Creature equal to 0!
13-8-46 | [INFO] [LOOTSYSTEM]: [CrateCleaner] !
13-8-46 | [INFO] [LOOTSYSTEM]: CrateList equal to 0!
13-8-46 | [INFO] NumberOfCratePerTime: 1
13-8-46 | [INFO] Crates count:7
13-8-46 | [INFO] Crate pos:<4623.640137, 343.319000, 9557.330078>maxloot: 10
13-8-46 | [INFO] [LOOTSYSTEM]: Spawned CrateName: Army2- Position: X:4623.64 Y:343.319 Z:9557.33
13-8-46 | [INFO] AmmoBox_545x39_20Rnd
13-8-46 | [INFO] AmmoBox_556x45_20Rnd
13-8-46 | [INFO] PSO1Optic
13-8-46 | [INFO] AK74_WoodBttstck
13-8-46 | [INFO] AK_FoldingBttstck_Black
13-8-46 | [INFO] SVD + Mag_SVD_10Rnd
13-8-46 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
13-8-46 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
13-8-46 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
13-8-46 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
13-8-46 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
13-8-46 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
13-8-46 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
13-8-46 | [INFO] [CREATURE SYSTEM] Animal_UrsusArctos has spawned !
13-8-46 | [INFO] NumberOfCratePerTime: 1
13-8-46 | [INFO] Crates count:7
13-8-46 | [INFO] Crate pos:<11860.200195, 141.061005, 12423.500000>maxloot: 10
13-8-46 | [INFO] [LOOTSYSTEM]: Spawned CrateName: Army2- Position: X:11860.2 Y:141.061 Z:12423.5
13-8-46 | [INFO] AmmoBox_556x45_20Rnd
13-8-46 | [INFO] SVD + Mag_SVD_10Rnd
13-8-46 | [INFO] AK74 + Mag_AK74_30Rnd
13-8-46 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
13-8-46 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
13-8-46 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
13-8-46 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
13-8-46 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
13-8-46 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
13-8-46 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
13-8-46 | [INFO] [CREATURE SYSTEM] Animal_UrsusArctos has spawned !
13-53-46 | [INFO] LootSpawner - Started !
13-53-46 | [INFO] CheckCreatureStatus Started !
13-53-46 | [INFO] Object:Creature deleted!
13-53-46 | [INFO] Object:Creature deleted!
13-53-46 | [INFO] Object:Creature deleted!
13-53-46 | [INFO] Object:Creature deleted!
13-53-46 | [INFO] Object:Creature deleted!
13-53-46 | [INFO] Object:Creature deleted!
13-53-46 | [INFO] [LOOTSYSTEM]: [CrateCleaner] !
13-53-46 | [INFO] NumberOfCratePerTime: 1
13-53-46 | [INFO] Crates count:7
13-53-46 | [INFO] Crate pos:<4623.640137, 343.319000, 9557.330078>maxloot: 10
13-53-46 | [INFO] [LOOTSYSTEM]: Spawned CrateName: Army2- Position: X:4623.64 Y:343.319 Z:9557.33
13-53-46 | [INFO] AmmoBox_545x39_20Rnd
13-53-46 | [INFO] AmmoBox_556x45_20Rnd
13-53-46 | [INFO] AK74 + Mag_AK74_30Rnd
13-53-46 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
13-53-46 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
13-53-46 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
13-53-46 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
13-53-46 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
13-53-46 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
13-53-46 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
13-53-46 | [INFO] [CREATURE SYSTEM] Animal_UrsusArctos has spawned !
13-53-46 | [INFO] NumberOfCratePerTime: 1
13-53-46 | [INFO] Crates count:7
13-53-46 | [INFO] Crate pos:<11860.200195, 141.061005, 12423.500000>maxloot: 10
13-53-46 | [INFO] [LOOTSYSTEM]: Spawned CrateName: Army2- Position: X:11860.2 Y:141.061 Z:12423.5
13-53-46 | [INFO] AmmoBox_545x39_20Rnd
13-53-46 | [INFO] AmmoBox_556x45_20Rnd
13-53-46 | [INFO] AK_RailHndgrd_Black
13-53-46 | [INFO] AK74_WoodBttstck
13-53-46 | [INFO] AK_Bayonet
13-53-46 | [INFO] AK_FoldingBttstck_Black
13-53-46 | [INFO] SVD + Mag_SVD_10Rnd
13-53-46 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
13-53-46 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
13-53-46 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
13-53-46 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
13-53-46 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
13-53-46 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
13-53-46 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
13-53-46 | [INFO] [CREATURE SYSTEM] Animal_UrsusArctos has spawned !
14-38-46 | [INFO] LootSpawner - Started !
14-38-46 | [INFO] CheckCreatureStatus Started !
14-38-46 | [INFO] Object:Creature deleted!
14-38-46 | [INFO] Object:Creature deleted!
14-38-46 | [INFO] Object:Creature deleted!
14-38-46 | [INFO] Object:Creature deleted!
14-38-46 | [INFO] Object:Creature deleted!
14-38-46 | [INFO] Object:Creature deleted!
14-38-46 | [INFO] Object:Creature deleted!
14-38-46 | [INFO] Object:Creature deleted!
14-38-46 | [INFO] Object:Creature deleted!
14-38-46 | [INFO] Object:Creature deleted!
14-38-46 | [INFO] [LOOTSYSTEM]: [CrateCleaner] !
14-38-46 | [INFO] NumberOfCratePerTime: 1
14-38-46 | [INFO] Crates count:7
14-38-46 | [INFO] Crate pos:<4623.640137, 343.319000, 9557.330078>maxloot: 10
14-38-46 | [INFO] [LOOTSYSTEM]: Spawned CrateName: Army2- Position: X:4623.64 Y:343.319 Z:9557.33
14-38-46 | [INFO] Fal_FoldingBttstck
14-38-46 | [INFO] FAL + Mag_FAL_20Rnd
14-38-46 | [INFO] AmmoBox_545x39_20Rnd
14-38-46 | [INFO] AmmoBox_556x45_20Rnd
14-38-46 | [INFO] AK74 + Mag_AK74_30Rnd
14-38-46 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
14-38-46 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
14-38-46 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
14-38-46 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
14-38-46 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
14-38-46 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
