Creation Time: 2023_2_21-12-57-1
12-57-1 | [INFO] RZRadZoneCore - Started ! => Loading config...
12-57-1 | [INFO] Checking if old config...
12-57-1 | [INFO] Current config loading...
12-57-1 | [INFO] RadZoneJsonLoader::LoadFromFile Loaded file: $profile:RadZone\RZConfig\ClothesProtectionConfigV1.json
12-57-1 | [INFO] RadZoneJsonLoader::LoadFromFile Loaded file: $profile:RadZone\RZConfig\CrateSystemConfigV1.json
12-57-1 | [INFO] RadZoneJsonLoader::LoadFromFile Loaded file: $profile:RadZone\RZConfig\RadiationConfigV1.json
12-57-1 | [INFO] CrateSystem - Started !
12-57-1 | [INFO] RZRadZoneServer - Started
12-57-41 | [INFO] LootSpawner - Started !
12-57-41 | [INFO] CheckCreatureStatus Started !
12-57-41 | [INFO] Object:Creature equal to 0!
12-57-41 | [INFO] [LOOTSYSTEM]: [CrateCleaner] !
12-57-41 | [INFO] [LOOTSYSTEM]: CrateList equal to 0!
12-57-41 | [INFO] NumberOfCratePerTime: 1
12-57-41 | [INFO] Crates count:7
12-57-41 | [INFO] Crate pos:<4623.640137, 343.319000, 9557.330078>maxloot: 10
12-57-41 | [INFO] [LOOTSYSTEM]: A previous case has been found at that location and got deleted!
12-57-41 | [INFO] [LOOTSYSTEM]: Spawned CrateName: Army2- Position: X:4623.64 Y:343.319 Z:9557.33
12-57-41 | [INFO] Fal_FoldingBttstck
12-57-41 | [INFO] Fal_OeBttstck
12-57-41 | [INFO] FAL + Mag_FAL_20Rnd
12-57-41 | [INFO] AmmoBox_545x39_20Rnd
12-57-41 | [INFO] AK74 + Mag_AK74_30Rnd
12-57-41 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
12-57-41 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
12-57-41 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
12-57-41 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
12-57-41 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
12-57-41 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
12-57-41 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
12-57-41 | [INFO] [CREATURE SYSTEM] Animal_UrsusArctos has spawned !
12-57-41 | [INFO] NumberOfCratePerTime: 1
12-57-41 | [INFO] Crates count:7
12-57-41 | [INFO] Crate pos:<11860.200195, 141.061005, 12423.500000>maxloot: 10
12-57-41 | [INFO] [LOOTSYSTEM]: A previous case has been found at that location and got deleted!
12-57-41 | [INFO] [LOOTSYSTEM]: Spawned CrateName: Army2- Position: X:11860.2 Y:141.061 Z:12423.5
12-57-41 | [INFO] AmmoBox_545x39_20Rnd
12-57-41 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
12-57-41 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
12-57-41 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
12-57-41 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
12-57-41 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
12-57-41 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
12-57-41 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
12-57-41 | [INFO] [CREATURE SYSTEM] Animal_UrsusArctos has spawned !
