Creation Time: 2023_2_18-1-49-5
1-49-5 | [INFO] RZRadZoneCore - Started ! => Loading config...
1-49-5 | [INFO] Checking if old config...
1-49-5 | [INFO] Current config loading...
1-49-5 | [INFO] RadZoneJsonLoader::LoadFromFile Loaded file: $profile:RadZone\RZConfig\ClothesProtectionConfigV1.json
1-49-5 | [INFO] RadZoneJsonLoader::LoadFromFile Loaded file: $profile:RadZone\RZConfig\CrateSystemConfigV1.json
1-49-5 | [INFO] RadZoneJsonLoader::LoadFromFile Loaded file: $profile:RadZone\RZConfig\RadiationConfigV1.json
1-49-5 | [INFO] CrateSystem - Started !
1-49-5 | [INFO] RZRadZoneServer - Started
1-49-52 | [INFO] LootSpawner - Started !
1-49-52 | [INFO] CheckCreatureStatus Started !
1-49-52 | [INFO] Object:Creature equal to 0!
1-49-52 | [INFO] [LOOTSYSTEM]: [CrateCleaner] !
1-49-52 | [INFO] [LOOTSYSTEM]: CrateList equal to 0!
1-49-52 | [INFO] NumberOfCratePerTime: 1
1-49-52 | [INFO] Crates count:7
1-49-52 | [INFO] Crate pos:<4623.640137, 343.319000, 9557.330078>maxloot: 10
1-49-52 | [INFO] [LOOTSYSTEM]: A previous case has been found at that location and got deleted!
1-49-52 | [INFO] [LOOTSYSTEM]: Spawned CrateName: Army2- Position: X:4623.64 Y:343.319 Z:9557.33
1-49-52 | [INFO] AmmoBox_545x39_20Rnd
1-49-52 | [INFO] AmmoBox_556x45_20Rnd
1-49-52 | [INFO] PSO1Optic
1-49-52 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
1-49-52 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
1-49-52 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
1-49-52 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
1-49-52 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
1-49-52 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
1-49-52 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
1-49-52 | [INFO] [CREATURE SYSTEM] Animal_UrsusArctos has spawned !
1-49-52 | [INFO] NumberOfCratePerTime: 1
1-49-52 | [INFO] Crates count:7
1-49-52 | [INFO] Crate pos:<11860.200195, 141.061005, 12423.500000>maxloot: 10
1-49-52 | [INFO] [LOOTSYSTEM]: A previous case has been found at that location and got deleted!
1-49-52 | [INFO] [LOOTSYSTEM]: Spawned CrateName: Army2- Position: X:11860.2 Y:141.061 Z:12423.5
1-49-52 | [INFO] AmmoBox_545x39_20Rnd
1-49-52 | [INFO] AmmoBox_556x45_20Rnd
1-49-53 | [INFO] AK_RailHndgrd_Black
1-49-53 | [INFO] AK_Suppressor
1-49-53 | [INFO] SVD + Mag_SVD_10Rnd
1-49-53 | [INFO] AK74 + Mag_AK74_30Rnd
1-49-53 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
1-49-53 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
1-49-53 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
1-49-53 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
1-49-53 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
1-49-53 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
1-49-53 | [INFO] [CREATURE SYSTEM] Animal_CanisLupus_Grey has spawned !
1-49-53 | [INFO] [CREATURE SYSTEM] Animal_UrsusArctos has spawned !
