Creation Time: 2023_2_18-22-36-1
22-36-1 | [INFO] TraderPlusCore - Started !
22-36-1 | [INFO] TraderPlus file exist ! loading...
22-36-1 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusGeneralConfig.json
22-36-1 | [INFO] TraderPlus file exist ! loading...
22-36-1 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusVehiclesConfig.json
22-36-1 | [INFO] TraderPlus file exist ! loading...
22-36-1 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json
22-36-1 | [INFO] TraderPlus file exist ! loading...
22-36-1 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusIDsConfig.json
22-36-1 | [INFO] TraderPlus file exist ! loading...
22-36-1 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusInsuranceConfig.json
22-36-1 | [INFO] TraderPlus file exist ! loading...
22-36-1 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json
22-36-1 | [INFO] TraderPlusServer - Started
22-36-1 | [INFO] TraderPlusBankingCore - Started !
22-36-1 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusBankingConfig.json
22-36-1 | [INFO] TraderPlusBankingServer - Started
22-36-1 | [INFO] CarLockCore - Started !
22-36-1 | [INFO] CarLockServer - Started
22-36-2 | [INFO] SafeZoneCore - Started !
22-36-2 | [INFO] DEBUG MODE ENABLED
