Creation Time: 2023_2_18-18-50-5
18-50-5 | [INFO] TraderPlusCore - Started !
18-50-5 | [INFO] TraderPlus file exist ! loading...
18-50-5 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusGeneralConfig.json
18-50-5 | [INFO] TraderPlus file exist ! loading...
18-50-5 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusVehiclesConfig.json
18-50-5 | [INFO] TraderPlus file exist ! loading...
18-50-6 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json
18-50-6 | [INFO] TraderPlus file exist ! loading...
18-50-6 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusIDsConfig.json
18-50-6 | [INFO] TraderPlus file exist ! loading...
18-50-6 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusInsuranceConfig.json
18-50-6 | [INFO] TraderPlus file exist ! loading...
18-50-6 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json
18-50-6 | [INFO] TraderPlusServer - Started
18-50-6 | [INFO] TraderPlusBankingCore - Started !
18-50-6 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusBankingConfig.json
18-50-6 | [INFO] TraderPlusBankingServer - Started
18-50-6 | [INFO] CarLockCore - Started !
18-50-6 | [INFO] CarLockServer - Started
18-50-7 | [INFO] SafeZoneCore - Started !
18-50-7 | [INFO] DEBUG MODE ENABLED
