Creation Time: 2023_2_19-0-44-8
0-44-8 | [INFO] TraderPlusCore - Started !
0-44-8 | [INFO] TraderPlus file exist ! loading...
0-44-8 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusGeneralConfig.json
0-44-8 | [INFO] TraderPlus file exist ! loading...
0-44-8 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusVehiclesConfig.json
0-44-8 | [INFO] TraderPlus file exist ! loading...
0-44-8 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json
0-44-8 | [INFO] TraderPlus file exist ! loading...
0-44-8 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusIDsConfig.json
0-44-8 | [INFO] TraderPlus file exist ! loading...
0-44-8 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusInsuranceConfig.json
0-44-8 | [INFO] TraderPlus file exist ! loading...
0-44-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json
0-44-9 | [INFO] TraderPlusServer - Started
0-44-9 | [INFO] TraderPlusBankingCore - Started !
0-44-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusBankingConfig.json
0-44-9 | [INFO] TraderPlusBankingServer - Started
0-44-9 | [INFO] CarLockCore - Started !
0-44-9 | [INFO] CarLockServer - Started
0-44-9 | [INFO] SafeZoneCore - Started !
0-44-9 | [INFO] DEBUG MODE ENABLED
