Creation Time: 2023_2_18-18-47-8
18-47-8 | [INFO] TraderPlusCore - Started !
18-47-8 | [INFO] TraderPlus file exist ! loading...
18-47-8 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusGeneralConfig.json
18-47-8 | [INFO] TraderPlus file exist ! loading...
18-47-8 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusVehiclesConfig.json
18-47-8 | [INFO] TraderPlus file exist ! loading...
18-47-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json
18-47-9 | [INFO] TraderPlus file exist ! loading...
18-47-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusIDsConfig.json
18-47-9 | [INFO] TraderPlus file exist ! loading...
18-47-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusInsuranceConfig.json
18-47-9 | [INFO] TraderPlus file exist ! loading...
18-47-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusPriceConfig.json
18-47-9 | [INFO] TraderPlusServer - Started
18-47-9 | [INFO] TraderPlusBankingCore - Started !
18-47-9 | [INFO] TraderPlusJsonLoader::LoadFromFile Loaded file: $profile:TraderPlus\TraderPlusConfig\TraderPlusBankingConfig.json
18-47-9 | [INFO] TraderPlusBankingServer - Started
18-47-9 | [INFO] CarLockCore - Started !
18-47-9 | [INFO] CarLockServer - Started
18-47-9 | [INFO] SafeZoneCore - Started !
18-47-9 | [INFO] DEBUG MODE ENABLED
